departamento,codigo_divipola_departamento,municipio,codigo_divipola_municipio,programa,año_de_asignacion,estado_de_postulacion,hogares,valor_asignado
HUILA,41,ACEVEDO,41006,Bolsa Desplazados,2010,Asignados,4,61800000.0
ANTIOQUIA,5,SAN PEDRO DE URABÁ,5665,Bolsa Desplazados,2008,Asignado con aplicación en Vivienda Gratuita,3,41351500.0
VALLE DEL CAUCA,76,JAMUNDÍ,76364,MI CASA YA,2020,Asignados,11,245784840.0
VALLE DEL CAUCA,76,GUACARÍ,76318,MI CASA YA,2022,Asignados,7,210000000.0
CÓRDOBA,23,VALENCIA,23855,Bolsa Desplazados,2007,Asignados,20,239880250.0
VALLE DEL CAUCA,76,CANDELARIA,76130,MI CASA YA,2024,Asignados,63,2067000000.0
VALLE DEL CAUCA,76,PALMIRA,76520,MI CASA YA,2020,Asignados,9,158004540.0
TOLIMA,73,IBAGUÉ,73001,MI CASA YA,2023,Asignados,71,1902400000.0
BOYACÁ,15,SOGAMOSO,15759,MI CASA YA,2023,Asignados,6,162400000.0
SUCRE,70,SAN BENITO ABAD,70678,Casa Digna Vida Digna,2025,Asignados,5,78000000.0
VALLE DEL CAUCA,76,SANTIAGO DE CALI,76001,MI CASA YA,2022,Asignados,15,300000000.0
BOLÍVAR,13,CARTAGENA DE INDIAS,13001,MI CASA YA,2017,Asignados,19,280332460.0
QUINDÍO,63,ARMENIA,63001,MI CASA YA,2019,Asignados,7,157342040.0
"BOGOTÁ, D.C.",11,"BOGOTÁ, D.C.",11001,Ahorro Programado Contractual,2012,Apto con subsidio vencido,348,3637423306.0
CAUCA,19,POPAYÁN,19001,MI CASA YA,2023,Apto con subsidio vencido,1,23200000.0
TOLIMA,73,IBAGUÉ,73001,MI CASA YA,2024,Asignados,52,1534000000.0
RISARALDA,66,DOSQUEBRADAS,66170,MI CASA YA,2020,Asignados,7,140448480.0
ATLÁNTICO,8,SOLEDAD,8758,Casa Digna Vida Digna,2021,Asignados,22,218169395.0
QUINDÍO,63,MONTENEGRO,63470,MI CASA YA,2019,Asignados,9,215310160.0
MAGDALENA,47,FUNDACIÓN,47288,Casa Digna Vida Digna,2024,Asignados,7,109200000.0
CÓRDOBA,23,SAHAGÚN,23660,MI CASA YA,2024,Asignados,5,182000000.0
ANTIOQUIA,5,LA ESTRELLA,5380,MI CASA YA,2019,Asignados,2,41405800.0
CUNDINAMARCA,25,SUSA,25779,Bolsa Esfuerzo Territorial,2005,Apto con subsidio vencido,3,22554000.0
SANTANDER,68,GIRÓN,68307,MI CASA YA,2018,Asignados,4,70311780.0
ATLÁNTICO,8,PALMAR DE VARELA,8520,Bolsa Desplazados,2008,Asignados,3,34612500.0
HUILA,41,PALERMO,41524,MI CASA YA,2020,Asignados,6,105336360.0
SANTANDER,68,FLORIÁN,68271,Bolsa Ordinaria,2005,Restitución SFV Cobro Directo Fiduciaria,6,33572000.0
CUNDINAMARCA,25,MADRID,25430,Semillero de Propietarios Arriendo,2021,Asignados,2,26900760.0
ANTIOQUIA,5,YARUMAL,5887,MI CASA YA,2020,Asignados,2,52668180.0
ANTIOQUIA,5,ABEJORRAL,5002,Bolsa Esfuerzo Territorial,2006,Restitucion de subsidios no aplicados,2,16000000.0
ANTIOQUIA,5,RIONEGRO,5615,Casa Digna Vida Digna,2021,Renuncias al subsidio,1,9935752.0
TOLIMA,73,GUAMO,73319,MI CASA YA,2020,Asignados,3,52668180.0
CESAR,20,AGUACHICA,20011,MI CASA YA,2018,Asignados,1,23437260.0
HUILA,41,RIVERA,41615,MI CASA YA,2024,Asignados,1,39000000.0
HUILA,41,COLOMBIA,41206,Bolsa Desplazados,2010,Apto con subsidio vencido,1,15450000.0
ANTIOQUIA,5,RIONEGRO,5615,MI CASA YA,2024,Asignados,4,104000000.0
BOYACÁ,15,CHIQUINQUIRÁ,15176,MI CASA YA,2016,Asignados,4,49640760.0
BOLÍVAR,13,TURBACO,13836,MI CASA YA,2018,Asignados,3,54686940.0
ATLÁNTICO,8,BARRANQUILLA,8001,MI CASA YA,2017,Asignados,5,88526040.0
NARIÑO,52,BARBACOAS,52079,Casa Digna Vida Digna,2025,Asignados,1,13920000.0
VALLE DEL CAUCA,76,PALMIRA,76520,MI CASA YA,2021,Asignados,5,118108380.0
HUILA,41,ACEVEDO,41006,Programa Vivienda Gratuita Fase II,2023,Asignados,1,58812801.0
ANTIOQUIA,5,VALDIVIA,5854,Bolsa Desplazados,2010,Asignado con aplicación en Vivienda Gratuita,1,15450000.0
NORTE DE SANTANDER,54,SAN JOSÉ DE CÚCUTA,54001,MI CASA YA,2016,Asignados,4,44125120.0
ANTIOQUIA,5,RIONEGRO,5615,Bolsa Desplazados,2010,Asignados,10,148062500.0
ANTIOQUIA,5,MEDELLÍN,5001,MI CASA YA,2022,Asignados,6,120000000.0
CESAR,20,VALLEDUPAR,20001,MI CASA YA,2018,Asignados,7,124998720.0
ANTIOQUIA,5,COPACABANA,5212,Semillero de Propietarios Arriendo,2022,Asignados,1,15344640.0
ATLÁNTICO,8,BARRANQUILLA,8001,Bolsa Desplazados,2008,Restitución SFV por Indemnización,3,44721000.0
CESAR,20,AGUACHICA,20011,MI CASA YA,2020,Asignados,2,52668180.0
"BOGOTÁ, D.C.",11,"BOGOTÁ, D.C.",11001,Semillero de Propietarios Arriendo,2022,Asignados,2,30689280.0
SANTANDER,68,GIRÓN,68307,Semillero de Propietarios Arriendo,2022,Asignados,1,15344640.0
HUILA,41,PITAL,41548,MI CASA YA,2024,Asignados,1,39000000.0
VALLE DEL CAUCA,76,FLORIDA,76275,MI CASA YA,2019,Apto con subsidio vencido,1,24843480.0
MAGDALENA,47,ALGARROBO,47030,Casa Digna Vida Digna,2025,Asignados,1,15600000.0
NARIÑO,52,IPIALES,52356,MI CASA YA,2015,Asignados,1,12887000.0
ATLÁNTICO,8,SANTO TOMÁS,8685,Bolsa Concejales,2011,Asignados,1,11515400.0
ANTIOQUIA,5,TÁMESIS,5789,Programa Vivienda Gratuita Fase I,2015,Asignados,1,36960000.0
ATLÁNTICO,8,SOLEDAD,8758,MI CASA YA,2023,Renuncias al subsidio,3,104400000.0
RISARALDA,66,DOSQUEBRADAS,66170,VIPA,2016,Perdida de ejecutoriedad de asignación de SFV,2,41367300.0
CÓRDOBA,23,PUERTO LIBERTADOR,23580,Bolsa Desplazados,2006,Asignados,11,129945168.0
NORTE DE SANTANDER,54,SAN JOSÉ DE CÚCUTA,54001,Casa Digna Vida Digna,2025,Asignados,2,31196510.0
QUINDÍO,63,ARMENIA,63001,MI CASA YA,2018,Asignados,6,140623560.0
BOLÍVAR,13,ARJONA,13052,Bolsa Desplazados,2006,Asignados,2,20400000.0
ATLÁNTICO,8,BARANOA,8078,MI CASA YA,2018,Asignados,1,15624840.0
ATLÁNTICO,8,JUAN DE ACOSTA,8372,Casa Digna Vida Digna,2024,Asignados,2,31200000.0
TOLIMA,73,ARMERO,73055,MI CASA YA,2023,Asignados,2,46400000.0
ANTIOQUIA,5,COPACABANA,5212,Semillero de Propietarios Arriendo,2021,Asignados,2,21539016.0
NORTE DE SANTANDER,54,SAN JOSÉ DE CÚCUTA,54001,MI CASA YA,2016,Apto con subsidio vencido,1,13789100.0
VALLE DEL CAUCA,76,YUMBO,76892,MI CASA YA,2018,Asignados,2,46874520.0
CAUCA,19,SANTANDER DE QUILICHAO,19698,MI CASA YA,2019,Apto con subsidio vencido,1,16562320.0
CUNDINAMARCA,25,ANAPOIMA,25035,MI CASA YA,2016,Asignados,1,13789100.0
META,50,ACACÍAS,50006,Ahorro Programado Contractual,2012,Asignados,1,7659080.0
ANTIOQUIA,5,BELLO,5088,MI CASA YA,2023,Asignados,1,34800000.0
ATLÁNTICO,8,BARRANQUILLA,8001,MI CASA YA,2022,Apto con subsidio vencido,1,20000000.0
ANTIOQUIA,5,RIONEGRO,5615,MI CASA YA,2021,Asignados,1,18170520.0
QUINDÍO,63,ARMENIA,63001,Semillero de Propietarios Arriendo,2020,Asignados,1,13303885.0
ATLÁNTICO,8,BARRANQUILLA,8001,Semillero de Propietarios Arriendo,2021,Asignados,1,13450380.0
"BOGOTÁ, D.C.",11,"BOGOTÁ, D.C.",11001,MI CASA YA,2022,Asignados,554,10284514320.0
META,50,LEJANÍAS,50400,Bolsa Desplazados,2010,Asignados,2,30900000.0
VALLE DEL CAUCA,76,JAMUNDÍ,76364,Bolsa Ordinaria,2003,Apto con subsidio vencido,2,12051000.0
SANTANDER,68,SAN GIL,68679,Bolsa Esfuerzo Territorial,2007,Asignados,2,17000000.0
CUNDINAMARCA,25,TOCANCIPÁ,25817,Semillero de Propietarios Ahorro,2023,Asignados,1,6960000.0
BOYACÁ,15,TUNJA,15001,MI CASA YA,2021,Asignados,1,27255780.0
RISARALDA,66,PEREIRA,66001,MI CASA YA,2020,Renuncias al subsidio,1,17556060.0
ANTIOQUIA,5,NARIÑO,5483,Bolsa Desplazados,2009,Asignado con aplicación en Vivienda Gratuita,1,14907000.0
CUNDINAMARCA,25,CHÍA,25175,MI CASA YA,2019,Renuncias al subsidio,1,16562320.0
TOLIMA,73,ESPINAL,73268,MI CASA YA,2016,Asignados,2,27578200.0
NARIÑO,52,PASTO,52001,Semillero de Propietarios Arriendo,2022,Asignados,3,46033920.0
VALLE DEL CAUCA,76,GUACARÍ,76318,Programa Vivienda Gratuita Fase I,2013,Renuncias al subsidio,1,40086000.0
BOYACÁ,15,CHIQUINQUIRÁ,15176,Bolsa Desplazados,2010,Asignado con aplicación en Vivienda Gratuita,1,15450000.0
CAUCA,19,PUERTO TEJADA,19573,MI CASA YA,2021,Asignados,2,36341040.0
BOLÍVAR,13,MAGANGUÉ,13430,MI CASA YA,2023,Asignados,2,69600000.0
SANTANDER,68,PIEDECUESTA,68547,Semillero de Propietarios Arriendo,2022,Asignados,6,88743168.0
HUILA,41,ALGECIRAS,41020,MI CASA YA,2022,Asignados,1,30000000.0
TOLIMA,73,FLANDES,73275,MI CASA YA,2023,Asignados,1,23200000.0
ANTIOQUIA,5,APARTADÓ,5045,MI CASA YA,2020,Asignados,1,17556060.0
VALLE DEL CAUCA,76,GUADALAJARA DE BUGA,76111,MI CASA YA,2017,Asignados,1,14754340.0
ANTIOQUIA,5,CAREPA,5147,MI CASA YA,2021,Apto con subsidio vencido,1,27255780.0
ATLÁNTICO,8,SABANAGRANDE,8634,MI CASA YA,2023,Renuncias al subsidio,1,23200000.0
MAGDALENA,47,SANTA MARTA,47001,MI CASA YA,2020,Asignados,1,17556060.0
TOLIMA,73,RIOBLANCO,73616,Bolsa Desplazados,2006,Asignados,2,25107000.0
CHOCÓ,27,QUIBDÓ,27001,Bolsa Desplazados,2007,Apto con subsidio vencido,1,10842500.0
ANTIOQUIA,5,SANTA ROSA DE OSOS,5686,MI CASA YA,2018,Asignados,2,46874520.0
NARIÑO,52,SAN LORENZO,52687,Ahorro Programado Contractual,2009,Asignados,1,7105670.0
CAQUETÁ,18,FLORENCIA,18001,Bolsa Ordinaria,2005,Renuncias al subsidio,1,8011500.0
ATLÁNTICO,8,GALAPA,8296,MI CASA YA,2021,Asignados,1,27255780.0
BOLÍVAR,13,MARÍA LA BAJA,13442,Bolsa Concejales,2008,Asignados,1,10153000.0
CALDAS,17,VILLAMARÍA,17873,MI CASA YA,2022,Asignados,1,20000000.0
CUNDINAMARCA,25,MADRID,25430,MI CASA YA,2018,Apto con subsidio vencido,1,15624840.0
SANTANDER,68,PIEDECUESTA,68547,Semillero de Propietarios Arriendo,2021,Asignados,1,13450380.0
ANTIOQUIA,5,EL CARMEN DE VIBORAL,5148,MI CASA YA,2024,Asignados,1,26000000.0
CESAR,20,VALLEDUPAR,20001,VIPA,2017,Asignados,1,20683650.0
"BOGOTÁ, D.C.",11,"BOGOTÁ, D.C.",11001,Programa Vivienda Gratuita Fase I,2014,Subsidio revocado mediante procedimiento Administrativo Sancionatorio,1,39949700.0
"BOGOTÁ, D.C.",11,"BOGOTÁ, D.C.",11001,Bolsa Desplazados,2006,Asignados,1,8950000.0
CAQUETÁ,18,FLORENCIA,18001,Bolsa Desplazados,2006,Asignado con aplicación en Vivienda Gratuita,1,13280000.0
BOYACÁ,15,TUNJA,15001,Semillero de Propietarios Arriendo,2024,Asignados,17,77880000.0
HUILA,41,GUADALUPE,41319,Bolsa Esfuerzo Territorial,2007,Asignados,72,640324332.0
NORTE DE SANTANDER,54,EL ZULIA,54261,MI CASA YA,2022,Asignados,1,30000000.0
GUAVIARE,95,CALAMAR,95015,Bolsa Ordinaria,2008,Asignados,1,9107700.0
CUNDINAMARCA,25,CHÍA,25175,MI CASA YA,2024,Asignados,19,494000000.0
VALLE DEL CAUCA,76,GUACARÍ,76318,MI CASA YA,2021,Asignados,2,45426300.0
CAUCA,19,GUACHENÉ,19300,Programa Vivienda Gratuita Fase I,2020,Asignados,3,132374961.2
LA GUAJIRA,44,URUMITA,44855,Casa Digna Vida Digna,2025,Asignados,6,83520000.0
TOLIMA,73,ESPINAL,73268,MI CASA YA,2022,Asignados,5,150000000.0
ANTIOQUIA,5,CALDAS,5129,Programa Vivienda Gratuita Fase I,2015,Asignados,1,36960000.0
ATLÁNTICO,8,SOLEDAD,8758,MI CASA YA,2019,Renuncias al subsidio,1,24843480.0
BOYACÁ,15,NOBSA,15491,MI CASA YA,2021,Asignados,3,63596820.0
CÓRDOBA,23,MONTERÍA,23001,MI CASA YA,2019,Asignados,4,99373920.0
BOYACÁ,15,PAIPA,15516,MI CASA YA,2022,Asignados,2,50000000.0
SANTANDER,68,BUCARAMANGA,68001,MI CASA YA,2022,Asignados,4,100000000.0
ANTIOQUIA,5,YOLOMBÓ,5890,Bolsa Desplazados,2011,Asignado con aplicación en Vivienda Gratuita,1,16068000.0
CESAR,20,AGUACHICA,20011,Bolsa Desplazados,2010,Apto con subsidio vencido,1,15450000.0
ANTIOQUIA,5,SAN ROQUE,5670,MI CASA YA,2020,Asignados,3,79002270.0
VALLE DEL CAUCA,76,JAMUNDÍ,76364,MI CASA YA,2016,Asignados,1,13789100.0
NORTE DE SANTANDER,54,VILLA DEL ROSARIO,54874,MI CASA YA,2020,Renuncias al subsidio,1,26334090.0
VALLE DEL CAUCA,76,CANDELARIA,76130,Semillero de Propietarios Arriendo,2022,Asignados,1,13682304.0
TOLIMA,73,IBAGUÉ,73001,VIPA,2016,Asignados,1,20683650.0
ANTIOQUIA,5,SAN PEDRO DE LOS MILAGROS,5664,MI CASA YA,2022,Asignados,2,50000000.0
SANTANDER,68,CAPITANEJO,68147,Bolsa Desplazados,2008,Asignados,2,23075000.0
CHOCÓ,27,QUIBDÓ,27001,Programa Vivienda Gratuita Fase I,2017,Asignados,1,55414100.0
RISARALDA,66,DOSQUEBRADAS,66170,Semillero de Propietarios Arriendo,2021,Asignados,1,13450380.0
VALLE DEL CAUCA,76,JAMUNDÍ,76364,MI CASA YA,2021,Apto con subsidio vencido,1,27255780.0
ANTIOQUIA,5,GÓMEZ PLATA,5310,Bolsa Desplazados,2008,Asignados,1,11537500.0
CUNDINAMARCA,25,CHOACHÍ,25181,Ahorro Programado Contractual,2011,Asignados,1,7659080.0
SANTANDER,68,BARRANCABERMEJA,68081,Semillero de Propietarios Arriendo,2021,Asignados,1,13450380.0
BOYACÁ,15,DUITAMA,15238,MI CASA YA,2024,Asignados,1,39000000.0
CÓRDOBA,23,CERETÉ,23162,MI CASA YA,2016,Asignados,1,13789100.0
CHOCÓ,27,EL LITORAL DEL SAN JUAN,27250,Bolsa Desplazados,2008,Asignados,1,14907000.0
NORTE DE SANTANDER,54,EL CARMEN,54245,Bolsa Desplazados,2010,Asignado con aplicación en Vivienda Gratuita,1,15450000.0
TOLIMA,73,IBAGUÉ,73001,Bolsa Desplazados,2017,Asignados,1,22131510.0
RISARALDA,66,DOSQUEBRADAS,66170,VIPA,2016,Renuncias al subsidio,1,20683650.0
TOLIMA,73,ESPINAL,73268,Bolsa Desplazados,2005,Asignados,2,17900000.0
SUCRE,70,SAN PEDRO,70717,Bolsa Desplazados,2004,Asignados,12,107400000.0
ANTIOQUIA,5,DABEIBA,5234,Casa Digna Vida Digna,2025,Asignados,1,13920000.0
ANTIOQUIA,5,YARUMAL,5887,MI CASA YA,2020,Apto con subsidio vencido,1,26334090.0
CALDAS,17,SUPÍA,17777,Bolsa Desplazados,2008,Asignados,1,8695750.0
GUAVIARE,95,SAN JOSÉ DEL GUAVIARE,95001,MI CASA YA,2023,Asignados,1,34800000.0
BOYACÁ,15,TUNJA,15001,Semillero de Propietarios Ahorro,2022,Asignados,1,6000000.0
CALDAS,17,VILLAMARÍA,17873,Bolsa Desplazados,2009,Asignados,1,8695750.0
"BOGOTÁ, D.C.",11,"BOGOTÁ, D.C.",11001,Bolsa Ordinaria,2003,Asignados,353,2141985000.0
ATLÁNTICO,8,BARRANQUILLA,8001,VIPA,2016,Asignados,44,896291482.0
META,50,GRANADA,50313,MI CASA YA,2021,Asignados,1,18170520.0
ATLÁNTICO,8,SOLEDAD,8758,MI CASA YA,2021,Asignados,20,499689300.0
BOLÍVAR,13,MORALES,13473,Casa Digna Vida Digna,2025,Asignados,5,69574611.0
ANTIOQUIA,5,CALDAS,5129,MI CASA YA,2018,Asignados,2,39062100.0
SANTANDER,68,PIEDECUESTA,68547,MI CASA YA,2017,Apto con subsidio vencido,1,14754340.0
VALLE DEL CAUCA,76,CARTAGO,76147,Ahorro Programado Contractual,2011,Asignados,1,8483484.0
VALLE DEL CAUCA,76,GUACARÍ,76318,MI CASA YA,2019,Asignados,10,240153640.0
ANTIOQUIA,5,CALDAS,5129,MI CASA YA,2020,Asignados,1,17556060.0
CAUCA,19,BUENOS AIRES,19110,Bolsa Desplazados,2008,Asignados,5,51918750.0
RISARALDA,66,PEREIRA,66001,MI CASA YA,2015,Asignados,3,33506200.0
CAUCA,19,POPAYÁN,19001,Bolsa Desplazados,2011,Asignados,37,612066960.0
BOYACÁ,15,CHITA,15183,Bolsa Atentados terroristas,2004,Asignados,14,83545314.0
NARIÑO,52,CUMBAL,52227,Casa Digna Vida Digna,2025,Asignados,12,187200000.0
