departamento,cod_divipola_depto,municipio,cod_divipola_mun
NARIÑO,52,IPIALES,52356
ATLÁNTICO,8,SANTO TOMÁS,8685
ANTIOQUIA,5,TÁMESIS,5789
CÓRDOBA,23,PUERTO LIBERTADOR,23580
BOLÍVAR,13,ARJONA,13052
ATLÁNTICO,8,BARANOA,8078
ATLÁNTICO,8,JUAN DE ACOSTA,8372
TOLIMA,73,ARMERO,73055
CUNDINAMARCA,25,ANAPOIMA,25035
META,50,LEJANÍAS,50400
SANTANDER,68,SAN GIL,68679
RISARALDA,66,PEREIRA,66001
ANTIOQUIA,5,NARIÑO,5483
CUNDINAMARCA,25,CHÍA,25175
CAUCA,19,PUERTO TEJADA,19573
BOLÍVAR,13,MAGANGUÉ,13430
SANTANDER,68,PIEDECUESTA,68547
HUILA,41,ALGECIRAS,41020
TOLIMA,73,FLANDES,73275
ANTIOQUIA,5,APARTADÓ,5045
VALLE DEL CAUCA,76,GUADALAJARA DE BUGA,76111
ATLÁNTICO,8,SABANAGRANDE,8634
MAGDALENA,47,SANTA MARTA,47001
TOLIMA,73,RIOBLANCO,73616
CHOCÓ,27,QUIBDÓ,27001
ANTIOQUIA,5,SANTA ROSA DE OSOS,5686
NARIÑO,52,SAN LORENZO,52687
BOLÍVAR,13,MARÍA LA BAJA,13442
CALDAS,17,VILLAMARÍA,17873
ANTIOQUIA,5,EL CARMEN DE VIBORAL,5148
HUILA,41,GUADALUPE,41319
NORTE DE SANTANDER,54,EL ZULIA,54261
GUAVIARE,95,CALAMAR,95015
CAUCA,19,GUACHENÉ,19300
LA GUAJIRA,44,URUMITA,44855
ANTIOQUIA,5,CALDAS,5129
BOYACÁ,15,NOBSA,15491
BOYACÁ,15,PAIPA,15516
SANTANDER,68,BUCARAMANGA,68001
ANTIOQUIA,5,YOLOMBÓ,5890
ANTIOQUIA,5,SAN ROQUE,5670
NORTE DE SANTANDER,54,VILLA DEL ROSARIO,54874
ANTIOQUIA,5,SAN PEDRO DE LOS MILAGROS,5664
SANTANDER,68,CAPITANEJO,68147
ANTIOQUIA,5,GÓMEZ PLATA,5310
CUNDINAMARCA,25,CHOACHÍ,25181
SANTANDER,68,BARRANCABERMEJA,68081
BOYACÁ,15,DUITAMA,15238
CÓRDOBA,23,CERETÉ,23162
CHOCÓ,27,EL LITORAL DEL SAN JUAN,27250
NORTE DE SANTANDER,54,EL CARMEN,54245
SUCRE,70,SAN PEDRO,70717
ANTIOQUIA,5,DABEIBA,5234
CALDAS,17,SUPÍA,17777
GUAVIARE,95,SAN JOSÉ DEL GUAVIARE,95001
META,50,GRANADA,50313
BOLÍVAR,13,MORALES,13473
CAUCA,19,BUENOS AIRES,19110
BOYACÁ,15,CHITA,15183
NARIÑO,52,CUMBAL,52227
CALDAS,17,MANIZALES,17001
ANTIOQUIA,5,LA CEJA,5376
META,50,VILLAVICENCIO,50001
LA GUAJIRA,44,MANAURE,44560
CUNDINAMARCA,25,FACATATIVÁ,25269
SANTANDER,68,AGUADA,68013
LA GUAJIRA,44,ALBANIA,44035
RISARALDA,66,SANTA ROSA DE CABAL,66682
BOYACÁ,15,SOATÁ,15753
ATLÁNTICO,8,PIOJÓ,8549
CUNDINAMARCA,25,LA MESA,25386
TOLIMA,73,VENADILLO,73861
CUNDINAMARCA,25,GUADUAS,25320
LA GUAJIRA,44,FONSECA,44279
ANTIOQUIA,5,SALGAR,5642
NARIÑO,52,BUESACO,52110
ANTIOQUIA,5,GUATAPÉ,5321
CUNDINAMARCA,25,CABRERA,25120
BOLÍVAR,13,EL CARMEN DE BOLÍVAR,13244
ATLÁNTICO,8,SABANALARGA,8638
CESAR,20,EL PASO,20250
VALLE DEL CAUCA,76,ZARZAL,76895
CUNDINAMARCA,25,FUNZA,25286
QUINDÍO,63,QUIMBAYA,63594
ANTIOQUIA,5,VALPARAÍSO,5856
CESAR,20,SAN DIEGO,20750
ARAUCA,81,TAME,81794
VALLE DEL CAUCA,76,BUGALAGRANDE,76113
BOYACÁ,15,BELÉN,15087
BOYACÁ,15,CUBARÁ,15223
VALLE DEL CAUCA,76,LA UNIÓN,76400
BOYACÁ,15,FIRAVITOBA,15272
PUTUMAYO,86,MOCOA,86001
ANTIOQUIA,5,TURBO,5837
SUCRE,70,SAN JOSÉ DE TOLUVIEJO,70823
NARIÑO,52,SAMANIEGO,52678
CESAR,20,GAMARRA,20295
VALLE DEL CAUCA,76,LA VICTORIA,76403
ANTIOQUIA,5,GUARNE,5318
CALDAS,17,VITERBO,17877
RISARALDA,66,LA VIRGINIA,66400
ANTIOQUIA,5,MARINILLA,5440
RISARALDA,66,GUÁTICA,66318
TOLIMA,73,SALDAÑA,73671
CASANARE,85,AGUAZUL,85010
CAQUETÁ,18,SOLITA,18785
NORTE DE SANTANDER,54,PUERTO SANTANDER,54535
CAUCA,19,PURACÉ,19585
ARAUCA,81,ARAUQUITA,81065
CESAR,20,SAN ALBERTO,20710
CUNDINAMARCA,25,CHOCONTÁ,25183
CUNDINAMARCA,25,GIRARDOT,25307
ANTIOQUIA,5,EL SANTUARIO,5697
HUILA,41,PITALITO,41551
BOYACÁ,15,TÓPAGA,15820
NORTE DE SANTANDER,54,CHINÁCOTA,54172
ANTIOQUIA,5,SONSÓN,5756
HUILA,41,GIGANTE,41306
QUINDÍO,63,CALARCÁ,63130
BOYACÁ,15,SORACÁ,15764
ANTIOQUIA,5,CAMPAMENTO,5134
NORTE DE SANTANDER,54,PAMPLONA,54518
TOLIMA,73,PURIFICACIÓN,73585
NORTE DE SANTANDER,54,SANTIAGO,54680
MAGDALENA,47,PUEBLOVIEJO,47570
LA GUAJIRA,44,EL MOLINO,44110
CUNDINAMARCA,25,FUSAGASUGÁ,25290
HUILA,41,SALADOBLANCO,41660
CÓRDOBA,23,MOMIL,23464
ARAUCA,81,PUERTO RONDÓN,81591
META,50,PUERTO RICO,50590
CUNDINAMARCA,25,CUCUNUBÁ,25224
CESAR,20,LA PAZ,20621
VALLE DEL CAUCA,76,ANSERMANUEVO,76041
NARIÑO,52,LA CRUZ,52378
BOYACÁ,15,MONIQUIRÁ,15469
NARIÑO,52,ROBERTO PAYÁN,52621
CÓRDOBA,23,COTORRA,23300
BOYACÁ,15,VIRACACHÁ,15879
ANTIOQUIA,5,PEÑOL,5541
CUNDINAMARCA,25,SAN FRANCISCO,25658
VALLE DEL CAUCA,76,CAICEDONIA,76122
CÓRDOBA,23,CIÉNAGA DE ORO,23189
ANTIOQUIA,5,PUERTO BERRÍO,5579
ANTIOQUIA,5,GIRARDOTA,5308
NORTE DE SANTANDER,54,TOLEDO,54820
CESAR,20,BOSCONIA,20060
ANTIOQUIA,5,PUEBLORRICO,5576
CUNDINAMARCA,25,EL ROSAL,25260
ANTIOQUIA,5,CAUCASIA,5154
CUNDINAMARCA,25,ARBELÁEZ,25053
NORTE DE SANTANDER,54,LOURDES,54418
CALDAS,17,RIOSUCIO,17614
ANTIOQUIA,5,COCORNÁ,5197
QUINDÍO,63,LA TEBAIDA,63401
ANTIOQUIA,5,AMALFI,5031
CÓRDOBA,23,CHINÚ,23182
SANTANDER,68,SURATÁ,68780
LA GUAJIRA,44,RIOHACHA,44001
NARIÑO,52,NARIÑO,52480
CAQUETÁ,18,BELÉN DE LOS ANDAQUÍES,18094
TOLIMA,73,CHAPARRAL,73168
BOYACÁ,15,VILLA DE LEYVA,15407
ANTIOQUIA,5,SABANETA,5631
CUNDINAMARCA,25,CAJICÁ,25126
NORTE DE SANTANDER,54,CÁCHIRA,54128
CAQUETÁ,18,LA MONTAÑITA,18410
NARIÑO,52,LEIVA,52405
CÓRDOBA,23,SAN BERNARDO DEL VIENTO,23675
CUNDINAMARCA,25,MOSQUERA,25473
ATLÁNTICO,8,MALAMBO,8433
CESAR,20,RÍO DE ORO,20614
SANTANDER,68,BARBOSA,68077
MAGDALENA,47,EL RETÉN,47268
VALLE DEL CAUCA,76,TULUÁ,76834
ATLÁNTICO,8,CAMPO DE LA CRUZ,8137
SANTANDER,68,PUERTO PARRA,68573
QUINDÍO,63,CIRCASIA,63190
CASANARE,85,TAURAMENA,85410
ANTIOQUIA,5,SAN JOSÉ DE LA MONTAÑA,5658
BOYACÁ,15,SAMACÁ,15646
ATLÁNTICO,8,SANTA LUCÍA,8675
CUNDINAMARCA,25,GACHANCIPÁ,25295
NARIÑO,52,CHACHAGÜÍ,52240
NARIÑO,52,EL PEÑOL,52254
TOLIMA,73,VILLARRICA,73873
BOYACÁ,15,GUACAMAYAS,15317
CHOCÓ,27,TADÓ,27787
ANTIOQUIA,5,FRONTINO,5284
ANTIOQUIA,5,SEGOVIA,5736
CAUCA,19,PIENDAMÓ - TUNÍA,19548
VALLE DEL CAUCA,76,PRADERA,76563
HUILA,41,SAN AGUSTÍN,41668
ANTIOQUIA,5,ITAGÜÍ,5360
CASANARE,85,SAN LUIS DE PALENQUE,85325
NORTE DE SANTANDER,54,TEORAMA,54800
CASANARE,85,YOPAL,85001
VICHADA,99,CUMARIBO,99773
CESAR,20,BECERRIL,20045
NARIÑO,52,LA LLANADA,52385
META,50,SAN MARTÍN,50689
ANTIOQUIA,5,ENVIGADO,5266
CASANARE,85,TRINIDAD,85430
LA GUAJIRA,44,DIBULLA,44090
CUNDINAMARCA,25,VILLETA,25875
BOYACÁ,15,RONDÓN,15621
LA GUAJIRA,44,HATONUEVO,44378
CÓRDOBA,23,TIERRALTA,23807
ANTIOQUIA,5,JERICÓ,5368
MAGDALENA,47,SANTA BÁRBARA DE PINTO,47720
ATLÁNTICO,8,SUAN,8770
VALLE DEL CAUCA,76,ROLDANILLO,76622
CUNDINAMARCA,25,APULO,25599
VALLE DEL CAUCA,76,BUENAVENTURA,76109
MAGDALENA,47,ARACATACA,47053
ANTIOQUIA,5,NECOCLÍ,5490
TOLIMA,73,CARMEN DE APICALÁ,73148
CALDAS,17,CHINCHINÁ,17174
CUNDINAMARCA,25,SUTATAUSA,25781
NARIÑO,52,LA TOLA,52390
GUAINÍA,94,BARRANCOMINAS,94343
CAQUETÁ,18,SAN VICENTE DEL CAGUÁN,18753
NARIÑO,52,SANTA BÁRBARA,52696
CÓRDOBA,23,CANALETE,23090
MAGDALENA,47,EL BANCO,47245
ANTIOQUIA,5,CONCORDIA,5209
TOLIMA,73,ROVIRA,73624
BOYACÁ,15,OTANCHE,15507
LA GUAJIRA,44,VILLANUEVA,44874
CUNDINAMARCA,25,SIMIJACA,25745
MAGDALENA,47,CIÉNAGA,47189
TOLIMA,73,SAN ANTONIO,73675
