"departamento","c_digo_divipola_departamento","municipio","c_digo_divipola_municipio","programa","a_o_de_asignaci_n","estado_de_postulaci_n","hogares","valor_asignado"
"NARIÑO","52","SAMANIEGO","52678","Semillero de Propietarios Arriendo","2021","Asignados","1","13450380"
"CUNDINAMARCA","25","RICAURTE","25612","MI CASA YA","2020","Asignados","2","35112120"
"CESAR","20","GAMARRA","20295","VIPA","2015","Perdida de ejecutoriedad de asignación de SFV","1","20683650"
"VALLE DEL CAUCA","76","LA VICTORIA","76403","Bolsa Esfuerzo Territorial","2009","Renuncia con restitucion de subsidio","3","26087250"
"RISARALDA","66","PEREIRA","66001","MI CASA YA","2020","Asignados","2","43890150"
"ANTIOQUIA","5","GUARNE","5318","MI CASA YA","2023","Asignados","2","46400000"
"CUNDINAMARCA","25","EL COLEGIO","25245","Bolsa Ordinaria","2004","Restitución SFV por Indemnización","3","22554000"
"NORTE DE SANTANDER","54","SAN JOSÉ DE CÚCUTA","54001","Bolsa Concejales","2008","Asignados","1","10153000"
"VALLE DEL CAUCA","76","CANDELARIA","76130","MI CASA YA","2018","Asignados","15","328121640"
"CALDAS","17","VITERBO","17877","Programa Vivienda Gratuita Fase II","2020","Asignados","1","55450647.36"
"NORTE DE SANTANDER","54","VILLA DEL ROSARIO","54874","MI CASA YA","2017","Asignados","4","66394530"
"TOLIMA","73","IBAGUÉ","73001","MI CASA YA","2019","Asignados","7","165623200"
"ATLÁNTICO","8","GALAPA","8296","MI CASA YA","2022","Asignados","1","20000000"
"RISARALDA","66","LA VIRGINIA","66400","Fenómeno de la Niña","2013","Renuncias al subsidio","6","153006000"
"VALLE DEL CAUCA","76","FLORIDA","76275","MI CASA YA","2019","Apto con subsidio vencido","1","24843480"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2017","Asignados","4","47213888"
"MAGDALENA","47","SANTA MARTA","47001","VIPA","2015","Asignados","4","75840050"
"ANTIOQUIA","5","MEDELLÍN","5001","MI CASA YA","2020","Asignados","1","17556060"
"BOYACÁ","15","SOGAMOSO","15759","MI CASA YA","2017","Apto con subsidio vencido","1","14754340"
"ANTIOQUIA","5","MARINILLA","5440","MI CASA YA","2019","Asignados","2","49686960"
"HUILA","41","NEIVA","41001","VIPA","2015","Asignados","1","16108750"
"CUNDINAMARCA","25","SOACHA","25754","MI CASA YA","2017","Asignados","2","36885850"
"ANTIOQUIA","5","SANTA ROSA DE OSOS","5686","Bolsa Desplazados","2008","Asignados","1","11537500"
"RISARALDA","66","GUÁTICA","66318","Bolsa Desplazados","2006","Asignados","8","81600000"
"VALLE DEL CAUCA","76","CANDELARIA","76130","MI CASA YA","2019","Renuncias al subsidio","1","16562320"
"CESAR","20","EL PASO","20250","Programa Vivienda Gratuita Fase I","2014","Perdida de ejecutoriedad de asignación de SFV","1","37224880"
"BOYACÁ","15","DUITAMA","15238","MI CASA YA","2020","Asignados","1","26334090"
"ANTIOQUIA","5","LA CEJA","5376","Bolsa Desplazados","2010","Renuncia con restitucion de subsidio","1","15450000"
"MAGDALENA","47","SANTA MARTA","47001","MI CASA YA","2019","Apto con subsidio vencido","2","49686960"
"TOLIMA","73","SALDAÑA","73671","MI CASA YA","2021","Asignados","1","27255780"
"ATLÁNTICO","8","SOLEDAD","8758","VIPA","2016","Renuncias al subsidio","1","20683650"
"META","50","ACACÍAS","50006","MI CASA YA","2020","Renuncias al subsidio","1","17556060"
"CASANARE","85","AGUAZUL","85010","MI CASA YA","2021","Apto con subsidio vencido","1","27255780"
"ANTIOQUIA","5","SANTA ROSA DE OSOS","5686","Semillero de Propietarios Ahorro","2022","Asignados","1","6000000"
"ANTIOQUIA","5","ANDES","5034","Semillero de Propietarios Ahorro","2021","Asignados","2","10902312"
"BOYACÁ","15","PAIPA","15516","Semillero de Propietarios Arriendo","2022","Asignados","1","15344640"
"ANTIOQUIA","5","MEDELLÍN","5001","MI CASA YA","2019","Asignados","1","16562320"
"CAQUETÁ","18","SOLITA","18785","Bolsa Desplazados","2004","Asignados","1","8950000"
"ANTIOQUIA","5","COPACABANA","5212","Bolsa Ordinaria","2003","Renuncia con restitucion de subsidio","1","7107000"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","MI CASA YA","2023","Asignados","58","1705200000"
"NORTE DE SANTANDER","54","PUERTO SANTANDER","54535","Programa Vivienda Gratuita Fase II","2019","Asignados","13","710930220"
"CAUCA","19","PURACÉ","19585","Bolsa Ordinaria","2004","Restitución SFV por Indemnización","30","225540000"
"CUNDINAMARCA","25","SOACHA","25754","Bolsa Desplazados","2008","Asignados","37","483710250"
"RISARALDA","66","DOSQUEBRADAS","66170","Bolsa Saludable","2009","Apto con subsidio vencido","5","18460000"
"SANTANDER","68","BARRANCABERMEJA","68081","MI CASA YA","2024","Asignados","5","156000000"
"ARAUCA","81","ARAUQUITA","81065","Bolsa Desplazados","2009","Asignados","35","513049250"
"META","50","VILLAVICENCIO","50001","MI CASA YA","2023","Asignados","14","371200000"
"CUNDINAMARCA","25","MADRID","25430","MI CASA YA","2020","Renuncias al subsidio","3","70224240"
"CESAR","20","SAN ALBERTO","20710","Bolsa Desplazados","2009","Asignados","6","83230750"
"CUNDINAMARCA","25","CHOCONTÁ","25183","MI CASA YA","2021","Asignados","1","18170520"
"BOLÍVAR","13","TURBACO","13836","MI CASA YA","2020","Asignados","4","96558330"
"CUNDINAMARCA","25","GIRARDOT","25307","MI CASA YA","2023","Asignados","13","301600000"
"VALLE DEL CAUCA","76","YUMBO","76892","MI CASA YA","2022","Asignados","11","290000000"
"ANTIOQUIA","5","EL SANTUARIO","5697","MI CASA YA","2023","Asignados","1","23200000"
"CAQUETÁ","18","FLORENCIA","18001","Bolsa Esfuerzo Territorial","2011","Asignados","71","833393600"
"CUNDINAMARCA","25","MADRID","25430","Semillero de Propietarios Arriendo","2022","Asignados","3","43808940"
"NORTE DE SANTANDER","54","VILLA DEL ROSARIO","54874","Semillero de Propietarios Arriendo","2020","Asignados","11","140163012"
"TOLIMA","73","IBAGUÉ","73001","MI CASA YA","2022","Asignados","64","1490000000"
"SANTANDER","68","GIRÓN","68307","MI CASA YA","2024","Asignados","16","585000000"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","MI CASA YA","2023","Asignados","54","1554400000"
"HUILA","41","PITALITO","41551","MI CASA YA","2016","Asignados","1","13789100"
"BOYACÁ","15","TÓPAGA","15820","Casa Digna Vida Digna","2025","Asignados","15","234000000"
"VALLE DEL CAUCA","76","YUMBO","76892","MI CASA YA","2022","Asignados","26","610000000"
"NORTE DE SANTANDER","54","CHINÁCOTA","54172","Bolsa Esfuerzo Territorial","2011","Asignados","84","873600000"
"NORTE DE SANTANDER","54","VILLA DEL ROSARIO","54874","MI CASA YA","2024","Asignados","28","949000000"
"CUNDINAMARCA","25","MADRID","25430","MI CASA YA","2020","Asignados","14","245784840"
"ATLÁNTICO","8","BARRANQUILLA","8001","MI CASA YA","2018","Asignados","9","171873240"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","MI CASA YA","2018","Asignados","4","78124200"
"SUCRE","70","SINCELEJO","70001","Bolsa Ordinaria","2008","Apto con subsidio vencido","1","9107700"
"ANTIOQUIA","5","SONSÓN","5756","Bolsa Atentados terroristas","2007","Asignados","22","188496000"
"VALLE DEL CAUCA","76","CANDELARIA","76130","MI CASA YA","2018","Asignados","19","367183740"
"SANTANDER","68","PIEDECUESTA","68547","MI CASA YA","2020","Asignados","6","131670450"
"HUILA","41","GIGANTE","41306","Bolsa Atentados terroristas","2004","Asignados","3","18557217"
"TOLIMA","73","FLANDES","73275","MI CASA YA","2023","Asignados","2","46400000"
"ANTIOQUIA","5","EL SANTUARIO","5697","MI CASA YA","2024","Asignados","1","39000000"
"VALLE DEL CAUCA","76","PALMIRA","76520","VIPA","2015","Renuncias al subsidio","2","41367300"
"QUINDÍO","63","CALARCÁ","63130","Bolsa Saludable","2009","Apto con subsidio vencido","15","44844523"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2021","Asignados","24","581456640"
"ANTIOQUIA","5","MARINILLA","5440","MI CASA YA","2019","Asignados","1","24843480"
"BOYACÁ","15","SORACÁ","15764","MI CASA YA","2024","Asignados","2","65000000"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","MI CASA YA","2017","Apto con subsidio vencido","1","14754340"
"SUCRE","70","SINCELEJO","70001","MI CASA YA","2022","Asignados","3","70000000"
"SANTANDER","68","FLORIDABLANCA","68276","MI CASA YA","2020","Asignados","6","114114390"
"CESAR","20","AGUACHICA","20011","Programa Vivienda Gratuita Fase II","2022","Asignados","15","1005000000"
"ANTIOQUIA","5","CAMPAMENTO","5134","Programa Vivienda Gratuita Fase I","2015","Asignados","4","147840000"
"NARIÑO","52","PASTO","52001","VIPA","2016","Renuncias al subsidio","2","41367300"
"ATLÁNTICO","8","BARRANQUILLA","8001","Concurso de Esfuerzo Territorial Nacional","2010","Asignados","1","9785000"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","Bolsa Desplazados","2008","Subsidio Revocado","3","41879250"
"NORTE DE SANTANDER","54","PAMPLONA","54518","Ahorro Programado Contractual","2011","Apto con subsidio vencido","2","16862180"
"NARIÑO","52","PASTO","52001","MI CASA YA","2021","Asignados","2","45426300"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","Bolsa Desplazados","2008","Perdida de ejecutoriedad de asignación de SFV","2","11537500"
"ANTIOQUIA","5","MEDELLÍN","5001","Semillero de Propietarios Ahorro","2022","Asignados","7","42000000"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","MI CASA YA","2022","Asignados","10","200000000"
"TOLIMA","73","PURIFICACIÓN","73585","MI CASA YA","2021","Asignados","1","18170520"
"CAUCA","19","POPAYÁN","19001","MI CASA YA","2020","Asignados","23","544237860"
"NARIÑO","52","PASTO","52001","MI CASA YA","2020","Asignados","11","254562870"
"ATLÁNTICO","8","SABANALARGA","8638","MI CASA YA","2023","Asignados","11","348000000"
"NORTE DE SANTANDER","54","SANTIAGO","54680","Bolsa Esfuerzo Territorial","2004","Asignados","13","97734000"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","Semillero de Propietarios Arriendo","2022","Asignados","2","30689280"
"MAGDALENA","47","PUEBLOVIEJO","47570","Bolsa Concejales","2009","Restitución SFV por Vencimiento Vigencia","1","10931800"
"LA GUAJIRA","44","EL MOLINO","44110","Casa Digna Vida Digna","2025","Asignados","28","389760000"
"VALLE DEL CAUCA","76","YUMBO","76892","MI CASA YA","2022","Asignados","17","390000000"
"CÓRDOBA","23","MONTERÍA","23001","MI CASA YA","2024","Asignados","18","650000000"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","VIPA","2017","Perdida de ejecutoriedad de asignación de SFV","4","88526040"
"SANTANDER","68","FLORIDABLANCA","68276","Semillero de Propietarios Arriendo","2021","Asignados","1","13450380"
"HUILA","41","NEIVA","41001","Macroproyecto","2012","Apto con subsidio vencido","99","1234272600"
"VALLE DEL CAUCA","76","GUADALAJARA DE BUGA","76111","MI CASA YA","2024","Asignados","10","390000000"
"NARIÑO","52","BARBACOAS","52079","Bolsa Desplazados","2008","Asignados","57","385077250"
"CESAR","20","VALLEDUPAR","20001","VIPA","2015","Apto con subsidio vencido","10","190083250"
"CUNDINAMARCA","25","FUSAGASUGÁ","25290","MI CASA YA","2021","Asignados","1","18170520"
"HUILA","41","SALADOBLANCO","41660","Programa Vivienda Gratuita Fase II","2021","Asignados","5","294064005"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","MI CASA YA","2020","Asignados","13","237006810"
"CÓRDOBA","23","MOMIL","23464","Casa Digna Vida Digna","2025","Asignados","56","873600000"
"CESAR","20","VALLEDUPAR","20001","MI CASA YA","2017","Asignados","3","44263020"
"ARAUCA","81","PUERTO RONDÓN","81591","Bolsa Desplazados","2007","Asignados","18","108425000"
"META","50","PUERTO RICO","50590","Bolsa Desplazados","2010","Asignados","4","61800000"
"BOYACÁ","15","SOGAMOSO","15759","MI CASA YA","2015","Asignados","2","20619200"
"BOLÍVAR","13","MAGANGUÉ","13430","MI CASA YA","2023","Asignados","3","104400000"
"SANTANDER","68","BARRANCABERMEJA","68081","MI CASA YA","2023","Asignados","6","150800000"
"META","50","SAN CARLOS DE GUAROA","50680","Semillero de Propietarios Arriendo","2021","Asignados","7","90618060"
"CÓRDOBA","23","MONTERÍA","23001","MI CASA YA","2018","Asignados","2","31249680"
"BOYACÁ","15","DUITAMA","15238","MI CASA YA","2022","Apto con subsidio vencido","1","30000000"
"NARIÑO","52","IPIALES","52356","MI CASA YA","2016","Asignados","2","27578200"
"VALLE DEL CAUCA","76","PALMIRA","76520","MI CASA YA","2020","Asignados","5","96558330"
"VALLE DEL CAUCA","76","YUMBO","76892","MI CASA YA","2021","Asignados","3","54511560"
"CUNDINAMARCA","25","CUCUNUBÁ","25224","MI CASA YA","2023","Asignados","1","23200000"
"QUINDÍO","63","ARMENIA","63001","MI CASA YA","2017","Apto con subsidio vencido","1","14754340"
"TOLIMA","73","FLANDES","73275","Ahorro Programado Contractual","2012","Asignados","2","21380173"
"CESAR","20","VALLEDUPAR","20001","MI CASA YA","2020","Asignados","6","105336360"
"CESAR","20","LA PAZ","20621","MI CASA YA","2022","Asignados","1","30000000"
"CUNDINAMARCA","25","ANAPOIMA","25035","Semillero de Propietarios Arriendo","2021","Asignados","2","26473896"
"META","50","RESTREPO","50606","MI CASA YA","2018","Asignados","2","31249680"
"SANTANDER","68","FLORIDABLANCA","68276","MI CASA YA","2017","Asignados","1","14754340"
"NORTE DE SANTANDER","54","EL CARMEN","54245","Bolsa Atentados terroristas","2003","Asignados","1","7636000"
"VALLE DEL CAUCA","76","ANSERMANUEVO","76041","MI CASA YA","2017","Asignados","1","14754340"
"NARIÑO","52","LA CRUZ","52378","Bolsa Ordinaria","2005","Asignados","10","74000000"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2021","Asignados","22","554200860"
"ANTIOQUIA","5","MEDELLÍN","5001","Programa Vivienda Gratuita Fase I","2014","Apto con subsidio vencido","3","73172150.07"
"BOYACÁ","15","PAIPA","15516","MI CASA YA","2022","Asignados","3","60000000"
"BOYACÁ","15","CHIQUINQUIRÁ","15176","MI CASA YA","2016","Asignados","2","22062560"
"BOYACÁ","15","MONIQUIRÁ","15469","Programa Vivienda Gratuita Fase II","2019","Asignados","56","3107091232"
"NARIÑO","52","ROBERTO PAYÁN","52621","Bolsa Atentados terroristas","2018","Asignados","33","427880000"
"NORTE DE SANTANDER","54","SAN JOSÉ DE CÚCUTA","54001","Programa Vivienda Gratuita Fase I","2025","Asignados","16","1872000000"
"META","50","RESTREPO","50606","MI CASA YA","2018","Asignados","2","31249680"
"CUNDINAMARCA","25","TOCANCIPÁ","25817","MI CASA YA","2020","Asignados","5","87780300"
"CÓRDOBA","23","COTORRA","23300","Casa Digna Vida Digna","2025","Asignados","67","1045200000"
"BOYACÁ","15","VIRACACHÁ","15879","Bolsa Esfuerzo Territorial","2006","Asignados","15","127500000"
"SUCRE","70","SINCELEJO","70001","MI CASA YA","2023","Asignados","6","185600000"
"ANTIOQUIA","5","PEÑOL","5541","Casa Digna Vida Digna","2024","Asignados","1","15600000"
"CUNDINAMARCA","25","SAN FRANCISCO","25658","Bolsa Desplazados","2009","Asignados","4","59628000"
"VALLE DEL CAUCA","76","CAICEDONIA","76122","MI CASA YA","2021","Asignados","4","99937860"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","MI CASA YA","2016","Asignados","1","13789100"
"NARIÑO","52","PASTO","52001","MI CASA YA","2021","Asignados","15","308898840"
"NARIÑO","52","PASTO","52001","MI CASA YA","2017","Asignados","11","184429250"
"SANTANDER","68","BARRANCABERMEJA","68081","VIPA","2016","Renuncias al subsidio","7","137891000"
"QUINDÍO","63","CALARCÁ","63130","Bolsa Desastres Naturales","2007","Asignados","52","445536000"
"SUCRE","70","SINCELEJO","70001","Ahorro Programado Contractual","2012","Asignados","5","48473058"
"CÓRDOBA","23","CIÉNAGA DE ORO","23189","Programa Vivienda Gratuita Fase II","2019","Asignados","175","10109143580"
"HUILA","41","LA PLATA","41396","MI CASA YA","2024","Asignados","6","195000000"
"CESAR","20","VALLEDUPAR","20001","VIPA","2016","Asignados","29","592931300"
"CÓRDOBA","23","CERETÉ","23162","MI CASA YA","2023","Asignados","5","150800000"
"ANTIOQUIA","5","PUERTO BERRÍO","5579","Bolsa Esfuerzo Territorial","2005","Restitucion de subsidios no aplicados","8","37747936"
"QUINDÍO","63","ARMENIA","63001","MI CASA YA","2019","Asignados","1","16562320"
"ANTIOQUIA","5","GIRARDOTA","5308","MI CASA YA","2017","Asignados","1","14754340"
"CAUCA","19","PUERTO TEJADA","19573","MI CASA YA","2024","Asignados","14","481000000"
"BOYACÁ","15","SOATÁ","15753","Bolsa Esfuerzo Territorial","2007","Renuncias al subsidio","1","8160000"
"NORTE DE SANTANDER","54","TOLEDO","54820","Bolsa Desplazados","2010","Asignados","1","15450000"
"CESAR","20","BOSCONIA","20060","MI CASA YA","2024","Asignados","10","260000000"
"VALLE DEL CAUCA","76","EL CERRITO","76248","MI CASA YA","2016","Renuncias al subsidio","1","8273460"
"CAUCA","19","PUERTO TEJADA","19573","MI CASA YA","2022","Asignados","2","50000000"
"VALLE DEL CAUCA","76","PALMIRA","76520","MI CASA YA","2025","Asignados","13","412815000"
"BOLÍVAR","13","CARTAGENA DE INDIAS","13001","Ahorro Programado Contractual","2011","Apto con subsidio vencido","10","110046041"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2017","Renuncias al subsidio","2","36885850"
"CUNDINAMARCA","25","RICAURTE","25612","MI CASA YA","2022","Asignados","2","40000000"
"NARIÑO","52","PASTO","52001","MI CASA YA","2020","Asignados","8","175560600"
"NORTE DE SANTANDER","54","SARDINATA","54720","Ahorro Programado Contractual","2012","Apto con subsidio vencido","1","9633900"
"CUNDINAMARCA","25","GIRARDOT","25307","Programa Vivienda Gratuita Fase I","2013","Renuncias al subsidio","2","70740000"
"CAUCA","19","PUERTO TEJADA","19573","MI CASA YA","2022","Asignados","9","210000000"
"SANTANDER","68","GIRÓN","68307","Bolsa Desastres Naturales","2006","Restitucion de subsidios no aplicados","3","24034500"
"HUILA","41","PITALITO","41551","MI CASA YA","2020","Asignados","1","26334090"
"ANTIOQUIA","5","PUEBLORRICO","5576","Semillero de Propietarios Ahorro","2022","Asignados","1","6000000"
"META","50","RESTREPO","50606","Bolsa Esfuerzo Territorial","2003","Restitución SFV por Indemnización","2","14214000"
"CUNDINAMARCA","25","EL ROSAL","25260","MI CASA YA","2022","Asignados","2","40000000"
"ATLÁNTICO","8","SABANAGRANDE","8634","MI CASA YA","2020","Asignados","1","26334090"
"SANTANDER","68","BUCARAMANGA","68001","Programa Vivienda Gratuita Fase I","2012","Asignados","1","39669000"
"ANTIOQUIA","5","CAUCASIA","5154","MI CASA YA","2015","Apto con subsidio vencido","1","12887000"
"CUNDINAMARCA","25","ARBELÁEZ","25053","Ahorro Programado Contractual","2010","Renuncia con restitucion de subsidio","1","9785000"
"NORTE DE SANTANDER","54","LOURDES","54418","Bolsa Saludable","2009","Apto con subsidio vencido","1","3688675"
"ANTIOQUIA","5","CAUCASIA","5154","MI CASA YA","2017","Asignados","3","66394530"
"META","50","GRANADA","50313","MI CASA YA","2016","Asignados","1","13789100"
"CALDAS","17","RIOSUCIO","17614","Bolsa Desplazados","2011","Asignados","1","16068000"
"ANTIOQUIA","5","COCORNÁ","5197","Bolsa Desplazados","2007","Asignado con aplicación en Vivienda Gratuita","3","44721000"
"QUINDÍO","63","LA TEBAIDA","63401","MI CASA YA","2021","Asignados","1","27255780"
"VALLE DEL CAUCA","76","YUMBO","76892","MI CASA YA","2016","Asignados","1","13789100"
"HUILA","41","NEIVA","41001","Ahorro Programado Contractual","2011","Renuncia con restitucion de subsidio","2","23030800"
"ANTIOQUIA","5","AMALFI","5031","Bolsa Esfuerzo Territorial","2007","Restitución SFV por Vencimiento Vigencia","2","15500000"
"CÓRDOBA","23","CHINÚ","23182","Bolsa Desplazados","2006","Asignados","1","7977624"
"SANTANDER","68","SURATÁ","68780","Bolsa Desplazados","2004","Asignados","1","8950000"
"BOYACÁ","15","SOGAMOSO","15759","MI CASA YA","2017","Asignados","1","22131510"
"RISARALDA","66","SANTA ROSA DE CABAL","66682","MI CASA YA","2017","Apto con subsidio vencido","1","14754340"
"LA GUAJIRA","44","RIOHACHA","44001","MI CASA YA","2018","Asignados","1","23437260"
"CUNDINAMARCA","25","SOACHA","25754","MI CASA YA","2020","Apto con subsidio vencido","1","26334090"
"BOYACÁ","15","BELÉN","15087","Bolsa Saludable","2010","Apto con subsidio vencido","1","3974849"
"CUNDINAMARCA","25","MADRID","25430","Semillero de Propietarios Arriendo","2021","Asignados","1","13450380"
"TOLIMA","73","FLANDES","73275","MI CASA YA","2022","Asignados","1","20000000"
"META","50","VILLAVICENCIO","50001","Bolsa Ordinaria","2004","Restitución SFV por Indemnización","71","533778000"
"TOLIMA","73","IBAGUÉ","73001","MI CASA YA","2023","Asignados","99","2842000000"
"SANTANDER","68","BUCARAMANGA","68001","Casa Digna Vida Digna","2025","Asignados","35","273000000"
"CUNDINAMARCA","25","TOCANCIPÁ","25817","MI CASA YA","2022","Asignados","21","420000000"
"NARIÑO","52","NARIÑO","52480","Bolsa Atentados terroristas","2009","Asignados","8","86693070"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2024","Apto con subsidio vencido","12","403000000"
"CUNDINAMARCA","25","ZIPAQUIRÁ","25899","MI CASA YA","2021","Asignados","8","145364160"
"SANTANDER","68","FLORIDABLANCA","68276","Bolsa unica Nacional","2006","Restitución SFV por Vencimiento Vigencia","457","3915576000"
"HUILA","41","NEIVA","41001","MI CASA YA","2020","Asignados","1","17556060"
"RISARALDA","66","SANTA ROSA DE CABAL","66682","MI CASA YA","2021","Asignados","3","63596820"
"CÓRDOBA","23","MONTERÍA","23001","MI CASA YA","2016","Asignados","1","8273460"
"META","50","SAN CARLOS DE GUAROA","50680","Casa Digna Vida Digna","2025","Asignados","6","93600000"
"NARIÑO","52","PASTO","52001","VIPA","2015","Asignados","41","779663000"
"ANTIOQUIA","5","TURBO","5837","Casa Digna Vida Digna","2025","Asignados","43","670800000"
"LA GUAJIRA","44","FONSECA","44279","Casa Digna Vida Digna","2025","Asignados","44","686369034"
"LA GUAJIRA","44","RIOHACHA","44001","Programa Vivienda Gratuita Fase I","2014","Asignados","8","240340000"
"CUNDINAMARCA","25","MADRID","25430","MI CASA YA","2023","Asignados","7","162400000"
"CAUCA","19","POPAYÁN","19001","MI CASA YA","2017","Asignados","1","8852604"
"CAQUETÁ","18","BELÉN DE LOS ANDAQUÍES","18094","Bolsa Atentados terroristas","2003","Asignados","3","22908000"
"CAQUETÁ","18","BELÉN DE LOS ANDAQUÍES","18094","Programa Vivienda Gratuita Fase I","2007","Asignados","1","14907000"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","MI CASA YA","2019","Asignados","7","165623200"
"BOLÍVAR","13","CARTAGENA DE INDIAS","13001","MI CASA YA","2022","Asignados","14","350000000"
"SUCRE","70","SINCELEJO","70001","MI CASA YA","2021","Asignados","2","45426300"
"VALLE DEL CAUCA","76","LA VICTORIA","76403","MI CASA YA","2024","Asignados","1","39000000"
"TOLIMA","73","CHAPARRAL","73168","Programa Vivienda Gratuita Fase I","2014","Asignados","3","83193116"
"BOYACÁ","15","DUITAMA","15238","MI CASA YA","2022","Asignados","2","50000000"
"SANTANDER","68","PIEDECUESTA","68547","MI CASA YA","2021","Asignados","6","136278900"
"META","50","VILLAVICENCIO","50001","MI CASA YA","2022","Asignados","1","20000000"
"BOYACÁ","15","VILLA DE LEYVA","15407","Bolsa Desplazados","2008","Asignados","1","11537500"
"CAUCA","19","POPAYÁN","19001","Bolsa Desplazados","2010","Asignado con aplicación en Vivienda Gratuita","1","15450000"
"RISARALDA","66","PEREIRA","66001","Semillero de Propietarios Arriendo","2021","Asignados","1","13450380"
"HUILA","41","RIVERA","41615","MI CASA YA","2023","Asignados","3","92800000"
"META","50","ACACÍAS","50006","MI CASA YA","2021","Asignados","1","27255780"
"TOLIMA","73","ARMERO","73055","VIPA","2016","Apto con subsidio vencido","5","103418250"
"ANTIOQUIA","5","SABANETA","5631","MI CASA YA","2023","Apto con subsidio vencido","1","23200000"
"TOLIMA","73","IBAGUÉ","73001","Semillero de Propietarios Ahorro","2021","Asignados","1","5451156"
"NORTE DE SANTANDER","54","CHINÁCOTA","54172","Semillero de Propietarios Arriendo","2022","Asignados","2","29154816"
"VALLE DEL CAUCA","76","CARTAGO","76147","VIPA","2017","Asignados","1","20683650"
"NORTE DE SANTANDER","54","VILLA DEL ROSARIO","54874","MI CASA YA","2018","Asignados","5","101561460"
"CUNDINAMARCA","25","SOACHA","25754","Bolsa Desplazados","2010","Perdida de ejecutoriedad de asignación de SFV","1","15450000"
"ANTIOQUIA","5","GUARNE","5318","MI CASA YA","2021","Asignados","1","18170520"
"SANTANDER","68","MÁLAGA","68432","MI CASA YA","2020","Asignados","2","35112120"
"CUNDINAMARCA","25","CAJICÁ","25126","MI CASA YA","2021","Asignados","1","18170520"
"BOLÍVAR","13","TURBACO","13836","MI CASA YA","2022","Apto con subsidio vencido","1","30000000"
"NORTE DE SANTANDER","54","CÁCHIRA","54128","Bolsa Desplazados","2008","Asignados","1","14907000"
"CAQUETÁ","18","LA MONTAÑITA","18410","Bolsa Desplazados","2005","Asignados","2","17900000"
"NARIÑO","52","LEIVA","52405","Bolsa Desplazados","2004","Asignados","5","22375000"
"CAQUETÁ","18","BELÉN DE LOS ANDAQUÍES","18094","Bolsa Desplazados","2009","Asignado con aplicación en Vivienda Gratuita","1","14907000"
"CÓRDOBA","23","SAN BERNARDO DEL VIENTO","23675","Bolsa Desastres Naturales","2008","Apto con subsidio vencido","1","9107700"
"CUNDINAMARCA","25","MOSQUERA","25473","Bolsa Desplazados","2004","Asignados","2","23857000"
"ATLÁNTICO","8","MALAMBO","8433","VIPA","2020","Renuncias al subsidio","1","24843480"
"NARIÑO","52","BUESACO","52110","Bolsa Desplazados","2005","Asignados","2","8950000"
"CESAR","20","BOSCONIA","20060","MI CASA YA","2020","Asignados","1","17556060"
"CESAR","20","VALLEDUPAR","20001","Bolsa Desplazados","2004","Subsidio Revocado","1","14907000"
"LA GUAJIRA","44","SAN JUAN DEL CESAR","44650","MI CASA YA","2019","Asignados","1","16562320"
"BOYACÁ","15","TUNJA","15001","MI CASA YA","2016","Asignados","1","13789100"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","Programa Vivienda Gratuita Fase I","2014","Asignados","384","15004173750"
"ATLÁNTICO","8","BARRANQUILLA","8001","MI CASA YA","2021","Asignados","33","754076580"
"SANTANDER","68","BUCARAMANGA","68001","MI CASA YA","2024","Asignados","5","169000000"
"BOYACÁ","15","TUNJA","15001","Semillero de Propietarios Arriendo","2022","Asignados","21","302654868"
"ATLÁNTICO","8","SABANAGRANDE","8634","MI CASA YA","2021","Asignados","10","263472540"
"SANTANDER","68","PIEDECUESTA","68547","MI CASA YA","2022","Asignados","46","1320000000"
"VALLE DEL CAUCA","76","LA VICTORIA","76403","Bolsa Esfuerzo Territorial","2005","Asignados","60","448031097"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","MI CASA YA","2018","Asignados","89","1828106280"
"NARIÑO","52","PASTO","52001","MI CASA YA","2016","Apto con subsidio vencido","1","13789100"
"CAUCA","19","SANTANDER DE QUILICHAO","19698","MI CASA YA","2022","Asignados","1","30000000"
