"consecutivo","tipoacuerdo","nombrealcaldecomp","correo","municipio","cod_municipio","subregion","cod_subregion","nom_plandsllo","nom_proyecto","pladesarrolloant","compplandsllo","secretariamunicipal","fase","desc_proyecto","pobla_afectada","pobla_solucion","categoriapo","nropobla","aportegob","aportemun","aporteotr","obsevgral","fechainicio","fechafin","nombreprogramapland","nombreproducto","unidad","cantidadtotal","cantidadanio1","cantidadanio2","cantidadanio3","cantidadanio4"
"2020072094","Ejecucion","JUAN MANUEL LEMA HURTADO","alcaldia@betulia-antioquia.gov.co","Betulia","05093","Suroeste","SR08","Pasión Por Betulia 2020 - 2023","Establecer un sistema de alertas tempranas eficiente mediante la entrega de elementos de dotación y capacitación a los diferentes actores sociales, civiles y territoriales, para mitigar el riesgo en la población urbana del municipio de Betulia.","UNIDOS POR LA VIDA 2020 - 2023","Gestión del riesgo y cambio climático","UMATA","Fase I","El Municipio de Betulia por ubicación geográfica, presenta condiciones agroecológicas y medio ambientales, referentes a; influencia de fuertes vientos calientes que corren por el cañón del río Cauca, junto con la de los vientos húmedos procedentes del Chocó, cuyo efecto en esta zona es el más dramático de toda la región del Suroeste, al interactuar con el relieve, se constituyen en los principales modeladores del microclima local.
En cuanto a la precipitación media anual en el municipio, aumenta de manera proporcional a la elevación. Así, esta varía, de valores cercanos a los 1.200 mm a orillas del río Cauca (370 msnm), hasta cerca de los 3.000 mm en el Morro San José (3.350 msnm), en límites con Urrao. Los mayores valores se registran en las zonas por encima de los 2.000 msnm (superando siempre los 2.200 mm) y existe la tendencia de que la precipitación crece en dirección norte.
La temperatura media oscila entre 8, 5º C en altitudes por encima de los 3.000 msnm, en límites con el municipio de Urrao, y los 25º C en las riberas del río Cauca en límites con el municipio de Armenia, y en el casco urbano (a 1.615 msnm) alcanza los 19.7°C. Con relación al brillo solar, el municipio presenta valores desde 1.600 hasta 2.200 horas al año, correspondientes a las altitudes extremas de 3.000 y 500 msnm, respectivamente. En altitudes entre los 1.000 y 2.000msnm, que conforman la mayor parte del territorio municipal, el brillo solar varía entre 2.000 y 1.800 horas/año, respectivamente.
En consecuencia a lo anterior el municipio de Betulia, presenta condiciones climáticas que lo hacen vulnerable a padecer, vendavales y avenidas torrenciales, prueba de esto es la cantidad de veces que suceden este tipo de fenómenos naturales en promedio por año, en el contexto local, donde la zona del municipio donde se presenta con más frecuencia es la urbana y los alrededores, por tal razón es necesario establecer un sistema de alertas tempranas eficiente que permita al ente territorial atender con inmediatez y respuesta oportuna a los diferentes fenómenos naturales que se presenten  en el territorio, dicho sistema debe contener la dotación de equipos para el monitoreo y para la respuesta a los fenómenos naturales, también es necesario la capacitación y la formación de los actores sociales, civiles y las autoridades municipales en temas asociados a fenómenos naturales, para responder ante situación semejante.","Zona Urbana y sus alrededores  5700 habitantes","Zona Urbana y sus alrededores  5700 habitantes","Humana","5700","12500000","0","0","No aplica.","2020-10-01T00:00:00.000","2021-06-30T00:00:00.000","Conocimiento del riesgo","Instrumento piloto de monitoreo del riesgo funcionando","Número","1","0","1","0","0"
"2020070506","Viabilidad","GREGORIO DE JESUS GUTIERREZ GONZALEZ","alcaldia@angostura-antioquia.gov.co","Angostura","05038","Norte","SR05","Angostura Un Nuevo Comienzo Para el Progreso","Implementación de 50 huertas familiares para autoconsumo en 10 veredas del Municipio de Angostura","UNIDOS POR LA VIDA 2020 - 2023","Línea Estratégica 3: Angostura Competitiva, turística, emprendedora y conectada al mundo con infraestructura adecuada","Secretaria de Agricultura, Ambiente y Desarrollo Comunitario","Fase I","El municipio de Angostura es en su mayoría rural, el 89% de la población se concentra en 49 veredas distribuidas a lo largo y ancho del territorio local que dependen de los cultivos de caña, café y plátano en su gran mayoría, teniendo dificultades serias en la diversificación y obtención de hortalizas, leguminosas y otras fuentes de proteína y energía vegetal, se hace necesario la siembra de huertas familiares para asegurar la soberanía alimentaria de las familias campesinas de las veredas de Angostura con mayor índice de necesidades insatisfechas y lograr la no importación de hortalizas y leguminosas de otras regiones como el oriente Antioqueño","50 familias de las veredas del Municipio de Angostura, Ventiaderos, alto del manzanillo, Cañaveral abajo, el olivo, Chocho loma, Chocho escuela, Chocho rio, Tenche viejo, Tenche Algodón,  la montaña, la Muñoz, la concepción, Guanteros, Guajira arriba, Guajira abajo, San Alejandro","Son personas de los niveles 1 y 2 del SISBEN que viven en la zona Rural
 del municipio.","Humana","250","20000000","10000000","0","Se revisara por parte de mana, si es posible que el municipio ponga solo 10.000.000 millones.","2020-10-01T00:00:00.000","2020-12-31T00:00:00.000","Producción y distribución sostenible y sustentable de alimentos","Huerta Familiar","Número","30","30","0","0","0"
"2020070727","Ejecucion","SOR MARIA OCAMPO GIRALDO","alcaldia@alejandria-antioquia.gov.co","Alejandría","05021","Oriente","SR07","Unidos por Alejandría, construyendo Territorio","Implementación del programa departamental ""Antioquia se pinta de vida"", durante la vigencia 2020, en el municipio de Alejandria","UNIDOS POR LA VIDA 2020 - 2023","Vivienda Digna","Secretaria de Planeacion","Fase I","Fachadas de viviendas urbanas en mal estado y alto grado de deterioro, principalmente las aledañas al parque principal que son de especial interés para la proyección turística que tiene el municipio","320 personas según el diagnóstico","Diagnósticos realizados","Humana","320","20000000","3000000","0","No aplica","2021-01-01T00:00:00.000","2021-12-31T00:00:00.000","Hábitat para la equidad","Municipios intervenidos con la estrategia Antioquia se pinta de vida","Número","1","0","1","0","0"
"2020070999","Gestion","SOR MARIA OCAMPO GIRALDO","alcaldia@alejandria-antioquia.gov.co","Alejandría","05021","Oriente","SR07","Unidos por Alejandría, construyendo Territorio","""IMPLEMENTACION DEL PROGRAMA CATASTRO CON ENFOQUE MULTIPROPOSITO EN EL MUNICIPIO DE ALEJANDRIA. ANTIOQUIA""","UNIDOS POR LA VIDA 2020 - 2023","4.6 Finanzas públicas","Secretaria de Planeacion","Fase I","Personal poco calificado y con dedicación exclusiva al catastro en el municipio","4698 población urbana y rural del municipio de Alejandria","población urbana y rural del municipio de Alejandria","Humana","4698","362203983","48000000","0","Dentro de la gestión catastral se realizaria apoyo en la conservación catastral, capacitaciones y cartografía para la gestión catastral. El aporte del municipio es con su acompañamiento profesional y técnico (En especie)","2020-09-03T00:00:00.000","2020-12-15T00:00:00.000","Implementación del catastro con enfoque multipropósito","Fortalecimiento gestión catastral","Unidad","3","3","0","0","0"
"2020071280","Ejecucion","ANDRES FELIPE HOLGUIN MUNERA","alcaldia@anza-antioquia.gov.co","Anzá","05044","Occidente","SR06","UNIDOS ¡Por Anzá! 2020-2023","Implementación de huertas agroecológicas, como unidades productivas con fines de seguridad alimentaria a víctimas del conflicto armado y mujeres cabeza de familia en el corregimiento de GUINTAR y vereda el Nudillo del Municipio de Anzá.","UNIDOS POR LA VIDA 2020 - 2023","UNIDOS ¡Por la tradición económica Anzarina!","Unidad Municipal de Asistencia Técnica Agropecuaria","Fase I","En el Municipio de Anzá las familias campesinas generalmente tienen en sus predios cultivos de pan coger como el maíz, el frijol, la yuca y plátano, pero no tienen diversificación de otros productos y utilización de altos índices de agroquímicos en sus parcelas lo que genera desabastecimiento y afectación en la salud para los mismos campesinos. Es perentorio realizar este proyecto con mujeres cabeza de hogar y víctimas del conflicto armado del corregimiento de Guintar y vereda el Nudillo  porque impactaría de una forma social ,cultural y económica a este segmento de la población lo que ayudaría a un consumo de alimentos más sanos (disminución de agroquímicos en los cultivos) y más comprometido con el medio ambiente; es importante conocer que el  problema que existe en las comunidades es la baja oportunidad de empleo que tiene el corregimiento de Güintar y vereda el nudillo para las mujeres cabeza de familia y  víctimas del conflicto armado, lo que se pretende con este proyecto es brindarles oportunidades en todos los ámbitos tanto en  lo social y económico.
El objetivo de implementar este proyecto es que las personas tengan como base fundamental el autoconsumo y si tienen excedentes poderlas vender en los mercados locales o de otros municipios con cadena de comercialización eficientes y eficaces.","300 personas del Municipio de Anzá, afectadas directas e indirectamente por la problemática y sus causas.","200 personas entre mujeres cabezas de hogar y víctimas del conflicto armado  y su núcleo familiar del Municipio de Anzá","Humana","200","20000000","10000000","0","Acompañamiento técnico en territorio de sede la gerencia de MANA, compromiso de que el próximo año se continuara con el proceso.","2020-10-01T00:00:00.000","2020-12-31T00:00:00.000","Producción y distribución sostenible y sustentable de alimentos","Huerta Familiar","Número","46","46","0","0","0"
"2020072109","Ejecucion","JUAN MANUEL LEMA HURTADO","alcaldia@betulia-antioquia.gov.co","Betulia","05093","Suroeste","SR08","Pasión Por Betulia 2020 - 2023","Dotación al cuerpo de bomberos voluntarios y defensa civil, a través de la dotación de herramientas y equipos de última tecnología para la atención de desastres y calamidades en el municipio de Betulia.","UNIDOS POR LA VIDA 2020 - 2023","Gestión del riesgo y cambio climático","UMATA","Fase I","El Municipio de Betulia es un territorio vulnerable a presentar situaciones asociadas a los desastres naturales y calamidades de origen social, la mayoría de estos siniestros son atendidos por el cuerpo de bomberos voluntarios, al igual que la defensa civil del corregimiento de Altamira, con la dificultad relacionada a la escasez de herramientas y equipos adecuados para labores de rescate, atención al ciudadano y otras situaciones asociadas a la profesión, es por ello que se hace necesario el fortalecimiento al cuerpo de bomberos voluntarios y a la defensa civil del municipio de Betulia, a través de la dotación de herramientas y equipos de última tecnología para la atención de desastres y calamidades que se puedan presentar en esta jurisdicción","17695 Población General","Población General","Humana","17695","10000000","0","0","No aplica.","2020-10-01T00:00:00.000","2021-06-30T00:00:00.000","Manejo de desastres","Entidades pertenecientes al sistema departamental y municipal fortalecidas en capacidad de respuesta con herramientas, equipos e insumos para la atención de emergencias.","Número","1","0","1","0","0"
"2020071901","Gestion","CARLOS ALBERTO OSORIO CALDERON","alcaldia@andes-antioquia.gov.co","Andes","05034","Suroeste","SR08","2020-2023 Alianza por el Desarrollo Humano","Saneamiento Predial en el municipio de Andes, Antioquia","UNIDOS POR LA VIDA 2020 - 2023","Desarrollo del Territorio","Secretaría de Gobierno y Servicios Administrativos","Fase II","El municipio de Andes, cuenta actualmente con una informalidad en la tradición de los bienes y servicios, encontrándose desactualizados los
inventarios. La causa de este problema es la deficiencia en la aplicación de la normatividad catastral y la incorrecta identificación física,fiscal
y económica de los predios y viviendas.","43.269","Proyección de población DANE","Humana","43269","0","0","0","No aplica","2020-09-01T00:00:00.000","2020-12-31T00:00:00.000","Mejoramiento, legalización y titulación de vivienda social","Viviendas y predios titulados y/o legalizados","Número","1","1","0","0","0"
"2020072168","Ejecucion","FEDERICO  GIL JARAMILLO","alcaldia@amalfi-antioquia.gov.co","Amalfi","05031","Nordeste","SR04","Plan de Desarrollo La Gran Alianza por Amalfi 2020 - 2023","Elaboración de insumos y actualización catastral con enfoque multipropósito en el municipio de Amalfi","UNIDOS POR LA VIDA 2020 - 2023","Componente 1: Fortalecimiento Institucional","Secretaria de Planeación y Prospectiva","Fase II","El municipio de Amalfi presenta insuficiente información catastral con enfoque multipropósito, lo que significa que esta no es útil como insumo
para la formulación de políticas públicas, planeación estratégica y ordenamiento del territorio -OT, sino que su uso se limita a establecer el evalúo del predio, el cual constituye la base gravable sobre la que se calcula el valor a pagar, adicionalmente, esta información no se encuentra ajustada a la realidad, lo que produce que el municipio no cuente con una base gravable adecuada limitando el recaudo impositivo suficiente para la generación recursos propios, reduciendo la capacidad de inversión en proyectos de desarrollo social y económico.
Igualmente, la desactualización de la información implica que los predios carecen en la mayoría de los casos, de condiciones de interrelación básica con componentes que hacen parte de la ruta de gestión predial como lo es el aspecto registral imponiendo cargas al propietario que dificultan la normal dinámica inmobiliaria.
La desactualización de la información física, jurídica y económica predial con enfoque multipropósito es generada tanto por la baja
articulación y deficiencias en la información cartográfica básica y predial; y las bajas capacidades administrativas, técnicas y económicas para el levantamiento de información predial.","27.071Corresponde a la población urbana y rural del municipio de Amalfi, según proyecciones de población DANE para el año 2020, calculadas con base en los resultados del Censo Nacional de Población y Vivienda -CNPV- 2018.","Masculino: 13.573 Corresponde a la población urbana y rural del municipio de Amalfi, según proyecciones de población DANE para el año 2020, calculadas con base en los resultados del Censo Nacional de Población y Vivienda -CNPV- 2018.
Femenino: 13.498 Corresponde a la población urbana y rural del municipio de Amalfi, según proyecciones de población DANE para el año 2020, calculadas con base en los resultados del Censo Nacional de Población y Vivienda -CNPV- 2018.","Humana","27071","313901024","0","0","Aporte en especie de 313.901.024 para el apoyo técnico, dos profesionales por tres meses y la ayuda de la actualización de las zonas económicas.","2020-09-03T00:00:00.000","2020-12-15T00:00:00.000","Implementación del catastro con enfoque multipropósito","Fortalecimiento gestión catastral","Unidad","3","3","0","0","0"
"2020072140","Ejecucion","JUAN MANUEL LEMA HURTADO","alcaldia@betulia-antioquia.gov.co","Betulia","05093","Suroeste","SR08","Pasión Por Betulia 2020 - 2023","Realizar el monitoreo y limpieza de las fuentes hídricas de la cabecera municipal en el marco del plan de acción del sistema de gestión del riesgo y desastres de Betulia.","UNIDOS POR LA VIDA 2020 - 2023","Gestión del riesgo y cambio climático","UMATA","Fase I","El municipio de Betulia, presenta condiciones climáticas que lo hacen vulnerable a padecer, vendavales y avenidas torrenciales, prueba de esto es la cantidad de veces que suceden este tipo de fenómenos naturales en promedio por año, en el contexto local, estos fenómenos naturales ponen en riesgo la población toda vez que aumenta notablemente el caudal de las fuentes hídricas generando posibles inundaciones y avalanchas por los sedimentos y palizadas que son arrastradas por el enorme caudal, la zona del municipio donde se presenta con más frecuencia es la urbana y los alrededores, por tal razón es necesario realizar el monitoreo y limpieza de las fuentes hídricas de la cabecera municipal en el marco del plan de acción del sistema de gestión del riesgo.","Zona Urbana y sus alrededores  5700 Habitantes","Zona Urbana y sus alrededores  5700 Habitantes","Humana","5700","10000000","0","0","No aplica.","2020-10-01T00:00:00.000","2021-06-30T00:00:00.000","Reducción del riesgo","Proyectos de Intervención correctiva y prospectiva para la reducción del riesgo realizados","Número","1","0","1","0","0"
"2020071886","Viabilidad","EDWIN  QUINTERO LOPEZ","alcaldia@argelia-antioquia.gov.co","Argelia","05055","Oriente","SR07","Argelia El Desarrollo es pa'todos","Implementación DE HUERTAS CASERAS EN CLAVE DE GENERO EN EL AREA RURAL DEL MUNICIPIO DE Argelia","UNIDOS POR LA VIDA 2020 - 2023","AGROPECUARIO","SECRETARÍA DE PLANEACIÓN-OFICINA DE DESARROLLO RURAL Y MEDIO AMBIENTE","Fase II","En el Municipio de Argelia se nota poco fortalecimiento de la seguridad alimentaria y sostenible de la zona rural dirigida a mujeres afectadas por el conflicto armado y en situación de extrema pobreza.
En total, se han detectado que el 70% de mujeres de la zona rural no cuentan con la facilidad de desempeñar labores en el campo para su sostenimiento y para mejor la calidad de vida no solo de ellas sino también de sus familias. El machismo y la discriminación hacia ellas son notorios en el territorio, porque las creen pocos capaces de llevar en sus hombros la responsabilidad de generar ingresos para el sustento del hogar.
Falta notoriamente en nuestro municipio capacitación, asesorías, fortalecimiento agropecuario para los grupos de mujeres emprendedoras y con ganas tener sus propios ingresos, además se nota poco interés en conformar grupos asociativos de mujeres.
Se realizó un diagnóstico detallado en las veredas y zona urbana para determinar la autonomía de la mujer y la igualdad en labores agrícolas con respecto a proyectos que mitiguen las carencias económica, nutricionales y el auto sostenimiento de nuevas familias Argelinas.
El municipio de Argelia cuenta con una gran variedad de climas y terrenos favorables que permiten el desarrollo amigable de la agricultura, por tal razón, actualmente en el municipio de Argelia las mujeres y sus familias ven la necesidad de crear un Proyecto Huertas rurales en Clave de Género en tres veredas.","120 personas. 30 mujeres y sus familias de centros rurales con bajos ingresos económicos.","Por medio de este proyecto las mujeres mejorarán su economía, independencia y participación en espacios preventivos contra la
vulneración de sus derechos, a través del empoderamiento y autonomía económica a través de las huertas de consumo y abejas meliponas","Humana","120","20000000","0","0","acompañamiento técnico en territorio desde la gerencia para implementación de las huertas. Compromiso de que el próximo año se continuará con el proceso y aumentando la cobertura.","2020-10-01T00:00:00.000","2020-12-31T00:00:00.000","Producción y distribución sostenible y sustentable de alimentos","Huerta Familiar","Número","36","36","0","0","0"
"2020070481","Viabilidad","GREGORIO DE JESUS GUTIERREZ GONZALEZ","alcaldia@angostura-antioquia.gov.co","Angostura","05038","Norte","SR05","Angostura Un Nuevo Comienzo Para el Progreso","ADQUISICIÓN LEGALIZACIÓN Y TITULACIÓN DE PREDIOS URBANOS EN EL MUNICIPIO DE ANGOSTURA- ANTIOQUIA","UNIDOS POR LA VIDA 2020 - 2023","Un Buen Gobierno Con Desarrollo Institucional y Fortalecido en la Participación Comunitaria","Secretaría de Gobierno y Servicios Generales","Fase I","Descripción de la Situación Existente con relación al Problema: Predios sin título de propiedad en diferentes sectores del municipio.
En el municipio de Angostura existe un aumento de la población residente y flotante los cuales no pueden acceder a un predio donde puedan vivir
legalmente, las dificultades de legalización impiden que la población pueda vivir.
tranquila y dignamente e impiden mejorar
La capacidad tributaria del municipio y en cierta forma frena el desarrollo social
y económico del municipio.","20 predios aproximadamente en la zona urbana.
Para un total de 20 familias con 101 personas","Familias de la zona urbana de los niveles 1 y 2 del SISBEN","Humana","101","0","0","0","Asistencia técnica. 
Acuerdo de ejecución, se ejecuta a través de convenio entre Min Vivienda, VIVA y el municipio.","2020-09-01T00:00:00.000","2020-12-31T00:00:00.000","Mejoramiento, legalización y titulación de vivienda social","Viviendas y predios titulados y/o legalizados","Número","1","1","0","0","0"
